eeacellcode	T	Sobs	Q1	Q2	U	C1_hat	C1_lo	C1_hi	C1_width	C0_hat	C0_lo	C0_hi	C0_width	reliable_complete
5kmE3980N3070	5	7	7	0	7									False
5kmE3975N3070	12	12	9	3	15	0.4342857142857143	0.47090232983537117	0.9591255252100841	0.4882231953747129	0.49230769230769234	0.2860927152317881	0.981260647359455	0.6951679321276669	False
5kmE3995N3075	1689	619	252	100	7072	0.9643832618397747	0.9733474147336834	0.9883175201318362	0.0149701053981528	0.6610902920151063	0.7384747109641306	0.9408162752605909	0.20234156429646022	True
5kmE3980N3075	3125	674	285	94	12732	0.977620182732711	0.9849914366290521	0.9917024513445069	0.006711014715454766	0.60945305983991	0.741299059398421	0.9229808874917305	0.18168182809330946	True
5kmE3920N3075	93	55	45	7	104	0.5687659716306803	0.7485092177425526	0.9087938798375673	0.16028466209501468	0.2776549959288124	0.42876530252656525	0.9259459766060164	0.49718067407945116	False
5kmE3915N3075	458	250	150	37	692	0.7834707384261661	0.8635085343831843	0.9275260597225619	0.06401752533937755	0.45176081682706404	0.6298856517117599	0.8803555993719611	0.25046994766020114	True
5kmE3970N3075	984	652	297	118	2776	0.8930979421719475	0.9125991443586314	0.9692002387808214	0.05660109442218997	0.6358574210817977	0.6429266427837632	0.9443644289650448	0.3014377861812816	True
5kmE3985N3075	810	787	341	153	3015	0.887024154445779	0.9110307668870118	0.9634296762656884	0.05239890937867664	0.6746480715973304	0.7274844517687619	0.9227821092699433	0.19529765750118144	True
5kmE3975N3075	3286	1226	484	158	19026	0.9745661818411686	0.9825893077375247	0.9904218044579655	0.00783249672044073	0.6232554004682047	0.7489831185231574	0.9332039295452248	0.18422081102206744	True
5kmE3990N3075	363	328	193	58	1070	0.81992515031235	0.8670952921022319	0.953360537832196	0.08626524572996408	0.5059952236924082	0.5734334868541345	0.9369446077064266	0.3635111208522921	True
5kmE3985N3080	2419	1591	556	228	14450	0.9615355378314633	0.973962704820546	0.9839620507670802	0.009999345946534177	0.7012982610056758	0.8044602680547109	0.9170517393675239	0.112591471312813	True
5kmE3975N3080	4388	1316	505	195	29644	0.982967510571212	0.9892988781201804	0.9934648475398943	0.004165969419713922	0.668101279115665	0.7867810637396631	0.9252177539757601	0.13843669023609706	True
5kmE3980N3080	4152	1289	501	163	25107	0.9800485331972624	0.9867210167508157	0.9925510774786775	0.005830060727861852	0.6261061657110619	0.7692268769038989	0.9156529303558495	0.1464260534519506	True
5kmE3970N3080	3276	1215	439	174	11459	0.9616987724782429	0.9756268224751296	0.9839444165204546	0.00831759404532506	0.686973594580377	0.8088871635928788	0.9234278172537378	0.11454065366085897	True
5kmE3990N3080	1887	1255	483	186	9577	0.9495872572127765	0.9659277387322224	0.9794559157457371	0.01352817701351472	0.6669186856952389	0.7911502497355294	0.9206388445580226	0.1294885948224932	True
5kmE3995N3080	3456	1711	597	250	20500	0.9708851064745359	0.9808013351979626	0.9873286221932327	0.006527286995270054	0.7059711621207205	0.8095444365121122	0.9148514313189594	0.10530699480684724	True
5kmE3965N3075	71	26	18	6	82	0.7825586746433502	0.8478036151861816	0.9666800213675214	0.11887640618133977	0.4941113490364026	0.3838871815114965	0.9415450362326805	0.557657854721184	True
5kmE3965N3080	1720	618	275	97	4020	0.9316201019940527	0.9532564764765381	0.9760236022711601	0.022767125794622034	0.6133429189058867	0.7081165154508219	0.9132511694729836	0.2051346540221617	True
5kmE3955N3080	1289	646	298	123	2487	0.880253667654091	0.9180879362254214	0.9552579001951447	0.037169963969723274	0.6416930753291165	0.7188911087857471	0.9025373014218415	0.18364619263609439	True
5kmE3960N3080	2279	883	350	155	6755	0.9482066663795394	0.9633420665542044	0.9808449909135861	0.017502924359381722	0.6909298604772407	0.7570056799286506	0.925854635550521	0.1688489556218704	True
5kmE3945N3080	171	77	62	5	183	0.661523321161267	0.8118120352283641	0.9147661283779313	0.10295409314956716	0.16770043940648285	0.4374457762802037	0.8624845550127749	0.4250387787325712	True
5kmE3950N3080	211	97	66	16	243	0.7290206993633426	0.8404952632333302	0.9223817317936557	0.08188646856032544	0.41724044788061954	0.5813908010188956	0.893763327910865	0.31237252689196937	True
5kmE4030N3070	481	371	233	61	706	0.6703312885447323	0.8209413499887069	0.8772304714946506	0.05628912150594367	0.4551774918626991	0.6546463583265858	0.8420395606308628	0.18739320230427703	True
5kmE4025N3070	1703	1092	522	175	3793	0.8624322592785316	0.9243106408071876	0.9385007382870965	0.014190097479908848	0.5839358088802644	0.7870398704355079	0.8611941144037414	0.07415424396823345	True
5kmE4020N3070	559	432	287	77	728	0.6061479677527712	0.7865071566747315	0.8464441864623559	0.059937029787624385	0.4472481130545862	0.6487820470133598	0.8310164871872618	0.182234440173902	False
5kmE4020N3075	5832	3091	1159	389	39720	0.9708241039637541	0.9833864585063393	0.987296403537181	0.003909945030841633	0.6416475720745476	0.8244943133085808	0.8945670601214628	0.070072746812882	True
5kmE4000N3075	1601	623	288	87	5588	0.9484804418308961	0.9626515205330209	0.9853484772993685	0.02269695676634753	0.566676900388054	0.6711538319082397	0.9460700287709753	0.2749161968627356	True
